Downloaded from Ill state water survey; http://www.isws.illinois.edu/data/climatedb/choose.asp?stn=118740&msg=2
Year,Month,Precipitation,Mean
2008,Fall,12.42,53.9
2009,1,0.68,18.8
2009,2,1.68,31.2
2009,3,2.62,43.5
2009,4,6.94,51.2
2009,5,5.71,63.3
2009,6,4.42,74.6
2009,7,6.30,70.0
2009,8,5.62,70.2
2009,9,0.80,66.7
2009,10,8.79,49.8
2009,11,3.92,46.2
2009,12,3.77,28.6
2009,Winter,7.25,25.2
2009,Spring,15.27,52.6
2009,Summer,16.34,71.6
2009,Fall,13.51,54.2
